Designator,Mid X,Mid Y,Rotation,Layer
C1,128.0,-58.0,90.0,top
C2,131.0,-58.0,90.0,top
C3,64.5,-92.5,270.0,bottom
C4,64.5,-101.75,270.0,bottom
C5,71.5,-92.5,270.0,bottom
C6,236.0,-75.5,270.0,bottom
C7,236.0,-67.5,270.0,bottom
D1,244.01,-50.9,180.0,top
D2,244.01,-54.9,180.0,top
J1,158.0,-96.09,180.0,top
J10,253.873,-59.309,90.0,top
J11,66.67,-95.753,270.0,bottom
J12,163.08,-91.0,270.0,top
J14,153.02,-50.0,90.0,top
J2,257.75,-72.475,0.0,top
J3,130.15,-86.0,90.0,top
J4,154.0,-86.0,90.0,top
J5,123.71,-50.25,90.0,top
J6,106.8,-86.0,90.0,top
J7,250.5,-61.0,270.0,top
J8,213.92,-61.0,90.0,top
J9,182.15,-53.95,90.0,top
JP1,112.7,-57.25,180.0,top
JP2,146.75,-86.0,0.0,top
JP3,123.45,-86.0,0.0,top
JP4,237.05,-85.0,0.0,top
Q1,183.9,-61.9375,90.0,top
Q10,219.95,-67.0625,90.0,top
Q11,227.95,-67.0625,90.0,top
Q2,187.9,-67.0,90.0,top
Q3,191.9,-62.0,90.0,top
Q4,195.85,-67.0625,90.0,top
Q5,199.85,-62.0625,90.0,top
Q6,175.95,-62.0625,90.0,top
Q7,179.9,-67.0,90.0,top
Q8,203.95,-67.0625,90.0,top
Q9,211.95,-67.0625,90.0,top
R1,134.25,-58.0,270.0,top
R10,181.0,-79.0,90.0,top
R11,183.0,-73.45,270.0,top
R12,187.0,-73.45,270.0,top
R13,191.0,-73.45,270.0,top
R14,195.0,-73.45,270.0,top
R15,199.0,-73.45,270.0,top
R16,175.0,-73.45,270.0,top
R17,179.0,-73.45,270.0,top
R18,236.9,-61.9,90.0,top
R19,208.0,-79.0,90.0,top
R2,137.25,-58.0,270.0,top
R20,212.0,-79.0,90.0,top
R21,216.0,-79.0,90.0,top
R22,220.0,-79.0,90.0,top
R23,206.0,-73.45,270.0,top
R24,210.0,-73.45,270.0,top
R25,214.0,-73.45,270.0,top
R26,218.0,-73.45,270.0,top
R27,240.9,-61.9,90.0,top
R3,119.75,-53.25,270.0,top
R4,185.0,-79.0,90.0,top
R5,189.0,-79.0,90.0,top
R6,193.0,-79.0,90.0,top
R7,197.0,-79.0,90.0,top
R8,201.0,-79.0,90.0,top
R9,177.0,-79.0,90.0,top
SW1,60.5,-94.5,0.0,top
U1,142.73,-73.44,90.0,top
U2,80.837,-67.775,90.0,top
U3,112.75,-52.5,0.0,top
